0,55,78
1,54,78
2,54,78
3,55,78
4,52,69
5,51,61
6,55,78
7,56,78
8,56,73
9,58,68
10,56,78
11,58,75
12,72,71
13,68,66
14,61,72
15,58,73
16,72,71
17,49,65
18,49,65
19,58,59
20,47,81
21,52,68
22,63,79
23,63,78
24,58,59
25,48,65
26,54,76
27,54,75
28,55,75
29,68,73
30,58,74
31,54,76
32,35,79
33,79,81
34,64,84
35,57,81
36,35,79
37,51,79
38,73,78
39,54,77
40,54,77
41,63,77
42,63,77
43,72,63
44,75,67
45,60,66
46,58,63
47,63,63
48,57,41
49,62,46
50,70,43
51,41,54
52,43,55
53,77,58
54,52,59
55,58,57
56,53,74
57,56,70
58,54,79
59,50,87
60,46,91
61,48,80
62,40,84
63,61,76
64,34,75
65,94,85
66,53,78
67,58,80
68,36,87
69,50,75
70,50,73
71,53,77
72,53,77
73,46,74
74,46,74
75,51,76
76,54,77
77,59,91
78,104,69
79,61,65
80,62,64
81,98,66
82,89,70
83,73,61
84,56,65
85,63,83
86,42,100
87,72,90
88,70,91
89,60,100
90,113,60
91,102,59
92,76,62
93,74,65
94,53,90
95,56,74
96,58,76
97,50,76
98,44,76
99,43,76
100,45,76
101,45,83
102,48,73
103,51,69
104,50,66
105,59,63
