0,77,87
1,69,87
2,72,88
3,73,88
4,82,77
5,69,67
6,75,89
7,75,87
8,72,87
9,75,88
10,76,89
11,105,91
12,121,86
13,88,76
14,92,82
15,67,85
16,78,92
17,54,75
18,93,63
19,84,100
20,59,118
21,61,130
22,70,118
23,80,99
24,72,101
25,71,80
26,75,88
27,72,86
28,71,88
29,92,91
30,128,91
31,116,84
32,110,89
33,88,97
34,73,105
35,61,95
36,110,89
37,68,92
38,69,93
39,70,86
40,99,86
41,92,87
42,68,92
43,80,65
44,97,66
45,112,65
46,90,66
47,72,66
48,73,67
49,77,59
50,87,64
51,70,58
52,63,63
53,99,73
54,70,69
55,73,67
56,76,78
57,91,89
58,93,93
59,102,113
60,100,108
61,75,86
62,112,99
63,59,102
64,144,93
65,112,108
66,81,100
67,113,94
68,124,102
69,135,79
70,122,79
71,122,79
72,110,80
73,66,82
74,67,83
75,66,92
76,68,90
77,75,88
78,68,87
79,89,83
80,96,87
81,95,90
82,95,90
