0,72,94
1,73,96
2,73,93
3,74,91
4,61,88
5,60,77
6,70,94
7,92,92
8,92,92
9,78,94
10,67,95
11,74,100
12,102,94
13,95,84
14,79,90
15,66,97
16,79,93
17,76,86
18,87,75
19,74,106
20,71,103
21,71,103
22,72,101
23,80,110
24,80,114
25,95,87
26,68,97
27,63,98
28,63,98
29,79,98
30,73,95
31,68,94
32,57,100
33,91,104
34,82,104
35,87,103
36,57,101
37,68,105
38,62,99
39,93,96
40,112,99
41,93,99
42,68,105
43,68,80
44,72,79
45,99,77
46,82,77
47,66,80
48,66,70
49,77,66
50,87,66
51,48,70
52,42,74
53,69,80
54,59,79
55,58,78
56,69,83
57,70,87
58,74,94
59,82,101
60,51,129
61,58,96
62,77,107
63,67,115
64,60,123
65,108,127
66,94,117
67,75,108
68,89,110
69,64,86
70,80,89
71,88,88
72,68,93
73,58,94
74,57,94
75,112,129
